time,signal
3.588,-0.2866666666666664
3.592,-0.29
3.596,-0.3016666666666664
3.6,-0.29
3.604,-0.2983333333333333
3.608,-0.31
3.612,-0.3166666666666666
3.616,-0.2966666666666649
3.62,-0.2766666666666666
3.624,-0.2900000000000007
3.628,-0.3
3.632,-0.3024999999999983
3.636,-0.29
3.64,-0.3100000000000015
3.644,-0.335
3.648,-0.3166666666666657
3.652,-0.3066666666666664
3.656,-0.3
3.66,-0.3250000000000007
3.664,-0.345
3.668,-0.3274999999999983
3.672,-0.31
3.676,-0.3316666666666686
3.68,-0.3616666666666679
3.684,-0.3383333333333313
3.688,-0.325
3.692,-0.325
3.696,-0.335
3.7,-0.315
3.704,-0.3050000000000015
3.708,-0.31
3.712,-0.3200000000000015
3.716,-0.3233333333333328
3.72,-0.3050000000000015
3.724,-0.3216666666666671
3.728,-0.335
3.732,-0.3199999999999989
3.736,-0.315
3.74,-0.3233333333333372
3.744,-0.36
3.748,-0.3366666666666641
3.7520000000000002,-0.3033333333333305
3.7560000000000002,-0.2900000000000035
3.7600000000000002,-0.3116666666666694
3.7640000000000002,-0.32499999999999973
3.7680000000000002,-0.32250000000000134
3.7720000000000002,-0.3399999999999974
3.7760000000000002,-0.3300000000000004
3.7800000000000002,-0.33333333333333065
3.7840000000000003,-0.30666666666666637
3.7880000000000003,-0.300000000000002
3.7920000000000003,-0.32500000000000495
3.7960000000000003,-0.33999999999999725
3.8000000000000003,-0.31499999999999756
3.8040000000000003,-0.3066666666666686
3.8080000000000003,-0.32000000000000245
3.8120000000000003,-0.3283333333333313
3.8160000000000003,-0.31499999999999667
3.8200000000000003,-0.2916666666666686
3.8240000000000003,-0.3050000000000007
3.8280000000000003,-0.30499999999999944
3.8320000000000003,-0.2999999999999972
3.8360000000000003,-0.2850000000000011
3.84,-0.2883333333333335
3.844,-0.295
3.848,-0.3116666666666664
3.852,-0.315
3.856,-0.33
3.86,-0.3316666666666657
3.864,-0.32
3.868,-0.2875000000000027
3.872,-0.26
3.876,-0.2749999999999985
3.88,-0.2983333333333333
3.884,-0.2716666666666694
3.888,-0.2283333333333333
3.892,-0.19
3.896,-0.1666666666666666
3.9,-0.085
3.904,0.0049999999999962
3.908,0.07
3.912,0.0183333333333343
3.916,-0.0116666666666666
3.92,-0.0666666666666656
3.924,-0.0833333333333333
3.928,-0.115
3.932,-0.1375
3.936,-0.175
3.94,-0.2183333333333321
3.944,-0.265
3.948,-0.2883333333333328
3.952,-0.3016666666666666
3.956,-0.33
3.96,-0.325
3.964,-0.33
3.968,-0.31
3.972,-0.315
3.976,-0.3466666666666664
3.98,-0.34
3.984,-0.3133333333333336
3.988,-0.32
3.992,-0.39
3.996,-0.4933333333333333
4.0,-0.445
4.0040000000000004,-0.16999999999983312
4.008,0.455
4.0120000000000005,1.1000000000000474
4.016,1.626666666666636
4.0200000000000005,1.9500000000000088
4.024,1.9966666666666688
4.0280000000000005,1.8249999999998976
4.032,1.215
4.0360000000000005,0.3099999999998105
4.04,-0.4716666666667086
4.0440000000000005,-0.6999999999999437
4.048,-0.4799999999999911
4.0520000000000005,-0.4133333333333313
4.056,-0.415
4.0600000000000005,-0.4000000000000029
4.064,-0.405
4.0680000000000005,-0.4174999999999966
4.072,-0.41
4.0760000000000005,-0.4150000000000015
4.08,-0.4316666666666657
4.0840000000000005,-0.4283333333333328
4.088,-0.4283333333333328
4.0920000000000005,-0.4350000000000066
4.096,-0.4599999999999985
4.1,-0.445
4.104,-0.4333333333333328
4.108,-0.45
4.112,-0.4666666666666672
4.116,-0.4600000000000014
4.12,-0.42
4.124,-0.4133333333333343
4.128,-0.425
4.132,-0.4050000000000044
4.136,-0.375
4.14,-0.3949999999999971
4.144,-0.4
4.148,-0.3983333333333343
4.152,-0.4016666666666676
4.156,-0.38
4.16,-0.3466666666666661
4.164,-0.345
4.168,-0.3099999999999955
4.172,-0.32
4.176,-0.3450000000000014
4.18,-0.3516666666666671
4.184,-0.3149999999999955
4.188,-0.2716666666666686
4.192,-0.28
4.196,-0.2783333333333343
4.2,-0.245
4.204,-0.2116666666666686
4.208,-0.2
4.212,-0.1833333333333343
4.216,-0.1666666666666647
4.22,-0.1350000000000029
4.224,-0.1183333333333323
4.228,-0.105
4.232,-0.0899999999999955
4.236,-0.045
4.24,-0.0399999999999985
4.244,0.005
4.248,0.0533333333333387
4.252,0.1166666666666627
4.256,0.175
4.26,0.1866666666666656
4.264,0.235
4.268,0.3049999999999822
4.272,0.39
4.276,0.395
4.28,0.4083333333333372
4.284,0.4649999999999956
4.288,0.5183333333333403
4.292,0.535
4.296,0.5433333333333314
4.3,0.545
4.304,0.5533333333333343
